날짜,문재인 테마주,홍준표 테마주,안철수 테마주,유승민 테마주,안희정 테마주
2017-03-05,1.72521,0.28077,0.28077,0.07175,1.64133
2017-03-06,6.42353,0.75809,0.75809,0.1279,4.00202
2017-03-07,5.24115,0.65202,0.65202,0.11231,5.95238
2017-03-08,7.0662,0.69258,0.69258,0.13102,4.45288
2017-03-09,29.86834,1.34772,1.34772,0.29637,5.70415
2017-03-10,100,3.43482,3.43482,1.29157,20.22796
2017-03-11,14.89361,1.14494,1.14494,0.33069,4.59979
2017-03-12,11.60541,1.27285,1.27285,0.34629,5.55724
2017-03-13,33.32189,2.94503,2.94503,0.54595,28.7082
2017-03-14,19.12085,2.19317,2.19317,0.43676,19.35157
2017-03-15,20.62769,4.9323,4.9323,1.78448,20.26342
2017-03-16,15.56124,4.21476,4.21476,0.89848,15.67882
2017-03-17,12.55693,6.30186,6.30186,0.44612,11.95542
2017-03-18,5.5656,2.32108,2.32108,0.12166,3.37892
2017-03-19,4.27715,2.87951,2.87951,0.13102,4.17426
2017-03-20,11.78636,4.89798,4.89798,0.29949,11.231
2017-03-21,10.8286,6.66687,6.66687,0.10607,8.20162
2017-03-22,10.14225,3.4473,3.4473,0.19342,6.616
2017-03-23,15.51756,8.65102,8.65102,0.24645,7.96859
2017-03-24,16.57515,5.02901,5.02901,0.37124,6.15501
2017-03-25,6.13651,6.83534,6.83534,0.27141,2.35562
2017-03-26,5.48449,7.18787,7.18787,0.96711,2.30496
2017-03-27,38.58176,26.20265,26.20265,1.18237,16.97568
2017-03-28,35.17501,16.92768,16.92768,8.45136,15.1469
2017-03-29,24.29649,19.37043,19.37043,4.43938,14.02228
2017-03-30,24.18106,24.76757,24.76757,1.10438,6.87943
2017-03-31,22.46521,29.92138,29.92138,1.04823,5.13171
2017-04-01,8.86628,13.61764,13.61764,0.29325,2.07193
2017-04-02,7.98028,14.0544,14.0544,0.24957,1.94022
2017-04-03,23.18587,23.48536,23.48536,0.60834,5.4154
2017-04-04,27.45679,22.93317,22.93317,0.61458,5.46099
2017-04-05,18.99294,28.07761,28.07761,0.4586,3.16109
2017-04-06,13.3587,24.883,24.883,0.31821,2.31003
2017-04-07,8.80389,12.10769,12.10769,0.25269,1.80344
2017-04-08,2.68921,4.28027,4.28027,0.17782,0.95238
2017-04-09,3.04486,6.05852,6.05852,0.18406,0.82573
2017-04-10,10.29512,17.12734,17.12734,0.28701,1.33232
2017-04-11,9.08154,7.65583,7.65583,0.19654,1.18034
2017-04-12,7.16603,4.94166,4.94166,0.1591,1.02836
2017-04-13,7.31265,3.93086,3.93086,0.53347,0.98784
2017-04-14,10.25457,4.26467,4.26467,6.08348,1.00303
2017-04-15,3.0199,1.37892,1.37892,1.11062,0.64336
2017-04-16,3.10413,1.16366,1.16366,0.35253,0.49645
2017-04-17,10.90347,3.93086,3.93086,0.71441,0.95238
2017-04-18,8.78829,3.22268,3.22268,0.44924,1.04863
2017-04-19,12.17944,2.73912,2.73912,0.80489,0.90678
2017-04-20,7.54664,2.19629,2.19629,1.74393,0.67882
2017-04-21,7.06308,1.89367,1.89367,0.58651,0.58257
2017-04-22,2.52074,0.57403,0.57403,0.16534,0.45592
2017-04-23,2.66737,0.67386,0.67386,0.24957,0.50151
2017-04-24,13.3587,2.32732,2.32732,0.81737,0.84599
2017-04-25,7.27522,1.44131,1.44131,0.43676,0.8004
2017-04-26,9.01603,1.48187,1.48187,0.54595,0.79027
2017-04-27,9.50271,1.39764,1.39764,0.23709,0.86626
2017-04-28,7.02564,1.33212,1.33212,0.21526,0.91691
2017-04-29,2.18381,0.33069,0.33069,0.10295,0.43566
2017-04-30,2.3554,0.28077,0.28077,0.05303,0.58763
2017-05-01,3.38491,0.37124,0.37124,0.11543,0.65856
2017-05-02,9.85212,0.95463,0.95463,0.71753,1.17527
2017-05-03,3.43482,0.37436,0.37436,0.31197,0.71935
2017-05-04,11.9673,0.83608,0.83608,0.67386,1.32218
2017-05-05,3.38491,0.34629,0.34629,0.29949,0.75987
2017-05-06,2.91071,0.34629,0.34629,0.1591,0.66869
2017-05-07,3.53777,0.36812,0.36812,0.2059,0.69908
2017-05-08,19.42659,1.51307,1.51307,0.68946,1.98581
2017-05-09,20.75871,1.3446,1.3446,0.48355,2.86727
2017-05-10,54.43314,2.10894,2.10894,0.48043,10.15197
