날짜,문재인,홍준표,안철수,유승민
2017-01-21,2.92167,0.05728,1.06691,0.66886
2017-01-22,5.27846,0.0643,1.64897,0.86535
2017-01-23,5.03515,0.09401,1.92388,12.45707
2017-01-24,3.48143,0.16326,13.3156,1.02042
2017-01-25,4.15491,0.25943,6.04199,1.99065
2017-01-26,4.68346,0.12399,3.55829,38.90714
2017-01-27,4.28775,0.0708,1.49552,3.97383
2017-01-28,3.60289,0.07503,1.35599,1.41607
2017-01-29,2.8246,0.07405,1.50092,1.07088
2017-01-30,3.21082,0.07288,1.70651,1.25592
2017-01-31,5.24777,0.09356,1.93981,1.83135
2017-02-01,18.95005,0.11742,31.76636,7.8965
2017-02-02,11.10569,0.16827,8.46347,5.30889
2017-02-03,5.82378,0.12451,3.14164,41.08193
2017-02-04,3.77396,0.08309,1.9426,6.06228
2017-02-05,4.32169,0.0814,1.92817,2.82493
2017-02-06,4.8806,0.11189,9.72675,3.43436
2017-02-07,4.93795,0.11443,3.94977,3.15471
2017-02-08,10.34366,0.12301,5.25635,2.32121
2017-02-09,8.52602,0.09161,12.54004,2.97148
2017-02-10,26.79083,0.08816,4.01492,1.75885
2017-02-11,7.02237,0.06684,4.30979,1.43167
2017-02-12,5.03418,0.06261,1.96932,3.94516
2017-02-13,10.13891,0.13049,2.43337,1.45515
2017-02-14,4.9295,0.13979,4.13807,2.32473
2017-02-15,4.01154,0.16755,4.51259,1.10345
2017-02-16,3.825,75.1757,48.33863,11.30927
2017-02-17,4.10101,1.75118,3.39769,17.28534
2017-02-18,2.67076,0.62451,1.91835,1.36997
2017-02-19,2.07693,0.51749,1.48284,0.94058
2017-02-20,2.8272,0.708,1.78714,1.81289
2017-02-21,3.07051,0.67022,2.11673,0.97978
2017-02-22,2.81101,1.71172,2.05353,1.03889
2017-02-23,2.89814,2.31218,4.38534,0.90573
2017-02-24,2.85607,0.89883,43.475,0.81632
2017-02-25,8.93688,0.4762,8.44761,0.52718
2017-02-26,2.25795,0.41502,2.13948,0.53869
2017-02-27,14.23076,1.00904,2.41179,0.71749
2017-02-28,3.71134,8.39845,1.9729,0.64031
2017-03-01,5.93614,8.5872,1.64832,0.52243
2017-03-02,2.52811,8.19156,1.81653,0.58999
2017-03-03,4.78548,2.15015,2.58149,0.64929
2017-03-04,2.04026,0.98486,1.51243,0.48355
2017-03-05,2.24547,0.96021,1.43414,0.74532
2017-03-06,4.36785,1.00358,1.62023,0.96808
2017-03-07,2.55223,0.81613,1.80079,0.4669
2017-03-08,4.03924,2.10346,2.10099,0.51606
2017-03-09,2.67733,0.88154,2.406,0.58264
2017-03-10,28.32257,2.04072,4.93847,3.41472
2017-03-11,7.47647,1.02881,2.5865,0.94012
2017-03-12,22.69319,6.18387,7.94357,1.04474
2017-03-13,8.74546,1.84182,3.07395,0.9461
2017-03-14,6.70513,1.54767,3.60257,0.8197
2017-03-15,8.37231,11.53717,20.31164,6.0061
2017-03-16,5.42593,24.22513,4.88678,1.05735
2017-03-17,5.64602,5.8206,3.31999,0.98427
2017-03-18,5.30414,16.78767,5.38893,0.68472
2017-03-19,6.32132,7.1935,13.36911,0.84071
2017-03-20,10.67793,3.85094,6.95943,1.96165
2017-03-21,8.58155,3.01205,3.19144,0.81301
2017-03-22,9.8826,2.74241,3.54457,0.86034
2017-03-23,6.42691,2.20879,21.33427,0.77608
2017-03-24,7.40494,2.86075,3.26147,0.75494
2017-03-25,5.45818,2.11868,9.4666,1.48733
2017-03-26,5.87691,4.77696,14.5422,5.89849
2017-03-27,12.5284,2.40047,12.68003,1.07764
2017-03-28,9.18071,2.22889,7.81464,34.46834
2017-03-29,7.82835,3.79626,8.35398,7.81249
2017-03-30,5.79908,2.21978,7.51613,1.25573
2017-03-31,8.24773,33.02919,10.25504,1.69123
2017-04-01,5.23496,4.24425,8.6558,1.45014
2017-04-02,5.3033,2.57219,12.62788,1.17114
2017-04-03,17.15816,3.7804,15.72967,2.29677
2017-04-04,16.06589,22.98214,23.84912,3.21732
2017-04-05,9.85471,28.52791,18.97937,2.79742
2017-04-06,8.92759,6.28413,16.95452,1.82674
2017-04-07,7.9792,3.87181,14.04272,1.55443
2017-04-08,5.51201,2.9668,9.43409,1.37407
2017-04-09,6.18666,3.42428,11.18053,13.33933
2017-04-10,8.3649,11.90005,17.5778,3.2588
2017-04-11,7.66372,4.39497,15.44202,1.55684
2017-04-12,6.3102,3.05731,11.19984,1.45144
2017-04-13,11.14029,11.23723,13.80202,22.4824
2017-04-14,12.2795,13.76567,17.18534,78.78366
2017-04-15,6.76241,5.22794,8.27062,10.77591
2017-04-16,6.42496,4.0659,7.63303,5.86059
2017-04-17,36.06712,16.91902,27.37152,15.77382
2017-04-18,23.21752,12.07144,18.33476,8.59858
2017-04-19,32.54576,24.75141,24.21772,30.52494
2017-04-20,30.1681,21.33681,24.47026,33.10832
2017-04-21,16.26257,24.01297,13.80032,11.80817
2017-04-22,12.64531,10.23768,9.54586,6.36904
2017-04-23,23.86115,28.31809,24.35719,24.06141
2017-04-24,17.80862,16.301,21.96061,13.47945
