,date,code,close
3979,2017-06-22,A002140,2810.0
3980,2017-06-22,A119850,5071.09
3981,2017-06-22,A035890,1215.0
3982,2017-06-23,A155660,6590.0
3983,2017-06-23,A002140,3225.0
3984,2017-06-23,A035890,1180.0
3985,2017-06-23,A042110,2075.0
3986,2017-06-23,A096630,2610.0
3987,2017-06-23,A102120,8250.0
3988,2017-06-23,A065650,5205.48
3989,2017-06-23,A069730,6100.0
3990,2017-06-23,A039560,5770.0
3991,2017-06-23,A115500,4975.0
3992,2017-06-23,A119850,4893.6
3993,2017-06-26,A042110,2160.0
3994,2017-06-26,A115500,5030.0
3995,2017-06-26,A155660,6510.0
3996,2017-06-26,A039560,5820.0
3997,2017-06-26,A102120,8290.0
3998,2017-06-26,A119850,5121.8
3999,2017-06-26,A002140,3330.0
4000,2017-06-26,A035890,1200.0
4001,2017-06-26,A069730,6000.0
4002,2017-06-26,A065650,5127.78
4003,2017-06-26,A096630,2595.0
4004,2017-06-27,A035890,1180.0
4005,2017-06-27,A102120,8680.0
4006,2017-06-27,A115500,5240.0
4007,2017-06-27,A119850,5147.16
4008,2017-06-27,A065650,5244.32
4009,2017-06-27,A002140,3205.0
4010,2017-06-27,A039560,5900.0
4011,2017-06-27,A069730,6120.0
4012,2017-06-27,A155660,6560.0
4013,2017-06-27,A096630,2635.0
4014,2017-06-27,A042110,2160.0
4015,2017-06-28,A119850,4924.03
4016,2017-06-28,A096630,2570.0
4017,2017-06-28,A115500,5110.0
4018,2017-06-28,A065650,5390.0
4019,2017-06-28,A069730,6290.0
4020,2017-06-28,A002140,3210.0
4021,2017-06-28,A102120,8430.0
4022,2017-06-28,A035890,1185.0
4023,2017-06-28,A042110,2180.0
4024,2017-06-28,A155660,6640.0
4025,2017-06-28,A039560,5840.0
4026,2017-06-29,A102120,8500.0
4027,2017-06-29,A096630,2510.0
4028,2017-06-29,A039560,5710.0
4029,2017-06-29,A065650,5331.73
4030,2017-06-29,A119850,5071.09
4031,2017-06-29,A115500,5050.0
4032,2017-06-29,A069730,6260.0
